INFO:root:Programm started
INFO:root:razmer meshochka 7
INFO:root:vipawshiy bochonok 7
INFO:root:udalenie 7 bochonka
INFO:root:vipawshiy bochonok 2
INFO:root:udalenie 2 bochonka
INFO:root:vipawshiy bochonok 5
INFO:root:udalenie 5 bochonka
INFO:root:vipawshiy bochonok 3
INFO:root:udalenie 3 bochonka
INFO:root:vipawshiy bochonok 6
INFO:root:udalenie 6 bochonka
INFO:root:vipawshiy bochonok 1
INFO:root:udalenie 1 bochonka
INFO:root:vipawshiy bochonok 4
INFO:root:udalenie 4 bochonka
INFO:root:Programm ended
INFO:root:Programm started
INFO:root:razmer meshochka 13
INFO:root:vipawshiy bochonok 2
INFO:root:udalenie 2 bochonka
INFO:root:vipawshiy bochonok 10
INFO:root:udalenie 10 bochonka
INFO:root:vipawshiy bochonok 9
INFO:root:udalenie 9 bochonka
INFO:root:vipawshiy bochonok 3
INFO:root:udalenie 3 bochonka
INFO:root:vipawshiy bochonok 4
INFO:root:udalenie 4 bochonka
INFO:root:vipawshiy bochonok 6
INFO:root:udalenie 6 bochonka
INFO:root:vipawshiy bochonok 12
INFO:root:udalenie 12 bochonka
INFO:root:vipawshiy bochonok 11
INFO:root:udalenie 11 bochonka
INFO:root:vipawshiy bochonok 13
INFO:root:udalenie 13 bochonka
INFO:root:vipawshiy bochonok 7
INFO:root:udalenie 7 bochonka
INFO:root:vipawshiy bochonok 8
INFO:root:udalenie 8 bochonka
INFO:root:vipawshiy bochonok 1
INFO:root:udalenie 1 bochonka
INFO:root:vipawshiy bochonok 5
INFO:root:udalenie 5 bochonka
INFO:root:Programm ended
INFO:root:Programm started
INFO:root:razmer meshochka 25
INFO:root:vipawshiy bochonok 7
INFO:root:udalenie 7 bochonka
INFO:root:vipawshiy bochonok 12
INFO:root:udalenie 12 bochonka
INFO:root:vipawshiy bochonok 5
INFO:root:udalenie 5 bochonka
INFO:root:vipawshiy bochonok 25
INFO:root:udalenie 25 bochonka
INFO:root:vipawshiy bochonok 4
INFO:root:udalenie 4 bochonka
INFO:root:vipawshiy bochonok 19
INFO:root:udalenie 19 bochonka
INFO:root:vipawshiy bochonok 23
INFO:root:udalenie 23 bochonka
INFO:root:vipawshiy bochonok 10
INFO:root:udalenie 10 bochonka
INFO:root:vipawshiy bochonok 17
INFO:root:udalenie 17 bochonka
INFO:root:vipawshiy bochonok 13
INFO:root:udalenie 13 bochonka
INFO:root:vipawshiy bochonok 2
INFO:root:udalenie 2 bochonka
INFO:root:vipawshiy bochonok 22
INFO:root:udalenie 22 bochonka
INFO:root:vipawshiy bochonok 18
INFO:root:udalenie 18 bochonka
INFO:root:vipawshiy bochonok 3
INFO:root:udalenie 3 bochonka
INFO:root:vipawshiy bochonok 15
INFO:root:udalenie 15 bochonka
INFO:root:vipawshiy bochonok 6
INFO:root:udalenie 6 bochonka
INFO:root:vipawshiy bochonok 14
INFO:root:udalenie 14 bochonka
INFO:root:vipawshiy bochonok 11
INFO:root:udalenie 11 bochonka
INFO:root:vipawshiy bochonok 16
INFO:root:udalenie 16 bochonka
INFO:root:vipawshiy bochonok 24
INFO:root:udalenie 24 bochonka
INFO:root:vipawshiy bochonok 21
INFO:root:udalenie 21 bochonka
INFO:root:vipawshiy bochonok 8
INFO:root:udalenie 8 bochonka
INFO:root:vipawshiy bochonok 20
INFO:root:udalenie 20 bochonka
INFO:root:vipawshiy bochonok 9
INFO:root:udalenie 9 bochonka
INFO:root:vipawshiy bochonok 1
INFO:root:udalenie 1 bochonka
INFO:root:Programm ended
